feature,importance
feature_0,8633.928186506815
feature_22,5.337811607607229
feature_5,5.042293951238468
feature_15,4.512229400539416
feature_10,4.489104788447815
feature_14,3.760198383393295
feature_3,3.383539690109198
feature_30,3.2399434492359873
feature_2,2.9963882150527006
feature_19,2.7941011632868094
feature_17,2.7274187380914974
feature_23,2.6818558881103094
feature_25,2.6170538928990283
feature_7,2.338898719410714
feature_12,2.324370853428474
feature_11,2.262414208839676
feature_29,2.198403892935982
feature_1,2.1063019942050474
feature_18,1.877248080241202
feature_32,1.7705732807238377
